"","year","make","model","price","mileage","ratings"
"404",2006,"Ford","F","4950","190403","4.8  "
"405",2014,"Mazda","Mazda3","4495","161399","4.2  "
"406",2014,"Ford","Mustang","18995","39206","4.2  "
"407",2015,"Toyota","Camry","15622","34893","4.5  "
"408",2015,"Ford","Mustang","22472","48053","4.5  "
"409",2008,"Lexus","RX","7997","178878","5  "
"410",2013,"INFINITI","G37","19000","39427","4.8  "
"411",2018,"Porsche","Macan","71991","10799","4.8  "
"412",2015,"Honda","Fit","9562","81153","4.8  "
"413",2017,"Mercedes","Benz","59848","61292","4.6  "
"414",2012,"Mazda","Mazda3","6995","103000","5  "
"415",2006,"Audi","A6","7995","88401","5  "
"416",2014,"Mercedes","Benz","14990","87147","4.8  "
"417",2011,"Subaru","Forester","12948","76389","4.6  "
"418",2014,"MINI","Hardtop","9998","76291","4.7  "
"419",2009,"Cadillac","CTS","39990","4278","4.8  "
"420",2018,"smart","ForTwo","26780",NA,"4.9  "
"421",2018,"smart","ForTwo","26780",NA,"4.9  "
"422",2018,"smart","ForTwo","27130",NA,"4.9  "
"423",2018,"smart","ForTwo","25160",NA,"4.9  "
"424",2005,"Toyota","RAV4","6200","139447","4.4  "
"425",2018,"smart","ForTwo","27630",NA,"4.4  "
"426",2009,"Nissan","Altima","5990","125393","5  "
"427",2011,"Jeep","Wrangler","20000","59060","4.4  "
"428",2014,"Chevrolet","Silverado","21864","53924","3.9  "
"429",2018,"Audi","S5","54998","8671","4.9  "
"430",2015,"Volkswagen","Golf","19925","30765","4.4  "
"431",2009,"Toyota","Tacoma","16995","53017","3.3  "
"432",2013,"Audi","S7","31675","71771","4.8  "
"433",2014,"RAM","1500","21995","36900","4.8  "
"434",2015,"Audi","Q7","28500","39412","4.8  "
"435",2015,"Mercedes","Benz","54532","33791","4.9  "
"436",2012,"BMW","X5","18995","76570","4.8  "
"437",2010,"Porsche","Cayenne","12985","107245","4.8  "
"438",2017,"Toyota","Avalon","17995","32336","5  "
"439",2012,"Toyota","Highlander","16495","71504","5  "
"440",2017,"Toyota","Tacoma","34150","23693","4.8  "
"441",2018,"Toyota","RAV4","22799","10382","4.9  "
"442",2006,"Volvo","S40","3791","126224","5  "
"443",2006,"GMC","Yukon","12998","111641","5  "
"444",2014,"Toyota","FJ","29590","42375","3  "
"445",2004,"Toyota","RAV4","4999","140097","4.7  "
"446",2017,"Tesla","Model","52000","252","5  "
"447",2009,"Toyota","Highlander","8500","142486","4.8  "
"448",2005,"Chevrolet","Colorado","9495","71165",NA
"449",2003,"Porsche","Boxster","13553","69661","4.8  "
"450",2005,"Ford","Focus","2495","88432","3.3  "
"451",2016,"Mazda","CX","17500","37020","4.8  "
"452",2008,"Toyota","Sequoia","20997","84884","4.8  "
"453",2016,"Ford","F","31000","51009","4.6  "
"454",1999,"Porsche","911","19777","79328",NA
"455",2009,"BMW","328","8997","82148",NA
"456",2016,"Toyota","Sienna","25000","28517","4.7  "
"457",2008,"Audi","A4","7595","118447","4  "
"458",2007,"Nissan","Murano","8500","58949","3.1  "
"459",2004,"Toyota","Sienna","4000","170968","3.1  "
"460",2014,"Volkswagen","Jetta","9411","54218","4.8  "
"461",2017,"Honda","CR","26988","23252","4.8  "
"462",2015,"Mercedes","Benz","24900","14346","4.8  "
"463",2015,"Subaru","WRX","15900","97887","4.5  "
"464",2012,"Audi","A4","12487","71359","4.8  "
"465",2007,"BMW","750","9990","108765","4.7  "
"466",2012,"BMW","X5","16995","65799","4  "
"467",2010,"Land","Rover","16990","99285","4.7  "
"468",2017,"Toyota","RAV4","27980","15653","4.7  "
"469",2012,"Toyota","Prius","7495","198743","4.8  "
"470",2011,"Lexus","GX","20998","105815","4.8  "
"471",2015,"Lexus","RX","29998","29657","4.8  "
"472",2011,"Subaru","Forester","6799","112022",NA
"473",2014,"Toyota","Corolla","12774","52477","4.5  "
"474",2013,"Ford","Escape","12900","61043","4.7  "
"475",2018,"Honda","Pilot","28900","8462","5  "
"476",2003,"Chevrolet","Tahoe","5995","100000","2.3  "
"477",2016,"Toyota","4Runner","29999","43405","4.8  "
"478",2008,"BMW","750","7998","117981","5  "
"479",2010,"Audi","Q5","11799","90466","4.4  "
"480",2010,"Lexus","IS","12399","82737","4.4  "
"481",2017,"RAM","1500","39997","11158","4.6  "
"482",2014,"Toyota","FJ","22995","82039","4.8  "
"483",2008,"BMW","X3","11400","68996","5  "
"484",1998,"Lincoln","Mark","8400","23654","5  "
"485",2018,"Volkswagen","Golf","40999",NA,"4.9  "
"486",2004,"Toyota","Matrix","4495","112052","5  "
"487",2005,"Toyota","Camry","3988","232965","3  "
"488",2018,"Toyota","Camry","19300","23120","4.9  "
"489",2005,"Nissan","350Z","8888","81700","4.9  "
"490",2017,"Dodge","Charger","36990","13800","4.9  "
"491",2013,"Honda","Civic","10888","98719","4.8  "
"492",2007,"Land","Rover","7995","141081","1  "
"493",2003,"Ford","Windstar","1400","99486",NA
"494",2009,"MINI","Cooper","7499","88947","5  "
"495",2013,"Mazda","CX","7950","129547","4.2  "
"496",1988,"Toyota","Supra","9950","96771","4.2  "
"497",2005,"Hyundai","Santa","5995","54800","5  "
"498",2010,"Ford","Fusion","5995","80564",NA
"499",2018,"Jeep","Renegade","21639",NA,"4.4  "
"500",2013,"Honda","CR","12552","81835","4.5  "
"501",2010,"Subaru","Tribeca","7893","135031","4.6  "
"502",2014,"Acura","MDX","28995","39985",NA
"503",2017,"Toyota","Tacoma","32195","10068","3.2  "
"504",2010,"Toyota","Matrix","5990","119564","5  "
"505",2002,"Chevrolet","TrailBlazer","850","240682","4.8  "
"506",2012,"Mazda","Mazda3","2850","253454","4.8  "
"507",2010,"Hyundai","Elantra","5495","83060","4.7  "
"508",2019,"Subaru","Ascent","32390",NA,"3.5  "
"509",1997,"Toyota","Corolla","995","275785","4.2  "
"510",2001,"Porsche","911","19245","80291","4.2  "
